date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:08	85791/85791	---MCZ	200	added ('OK')	text/html	etag:W/%223113dbda64c75b304f6d701c3f176327%22	https://resources.xceptional.com/	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/index.html	(from )
11:51:09	138/138	---M-Z	200	added ('OK')	text/plain	date:Tue,%2023%20Jan%202024%2006:21:09%20GMT	https://resources.xceptional.com/robots.txt		(from )
11:51:09	2056/2056	---M--	200	added ('OK')	image/webp	etag:%22d1b2c0faf3a4a5d4766f795f13a4a999%22	https://resources.xceptional.com/hubfs/fav.webp	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/hubfs/fav.webp	(from https://resources.xceptional.com/)
11:51:09	199446/199446	---MCZ	200	added ('OK')	text/css	etag:W/%22983993920c261d800b91c115e1dba9a7%22	https://resources.xceptional.com/hs-fs/hub/6853069/hub_generated/template_assets/49003714141/1678218767378/xceptional-2021-theme/css/main.min.css	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/hs-fs/hub/6853069/hub_generated/template_assets/49003714141/1678218767378/xceptional-2021-theme/css/main.min.css	(from https://resources.xceptional.com/)
11:51:09	5554/5554	---MCZ	200	added ('OK')	text/css	etag:W/%22e959bc6ab295836a027b70d5b5921e05%22	https://resources.xceptional.com/hs-fs/hub/6853069/hub_generated/template_assets/49003857187/1666391428183/xceptional-2021-theme/css/theme-overrides.min.css	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/hs-fs/hub/6853069/hub_generated/template_assets/49003857187/1666391428183/xceptional-2021-theme/css/theme-overrides.min.css	(from https://resources.xceptional.com/)
11:51:09	3601/3601	---MCZ	200	added ('OK')	text/css	etag:W/%225e52e29ab3bfafc89a922c76bb6cc4e7%22	https://resources.xceptional.com/hs-fs/hub/6853069/hub_generated/template_assets/49002281049/1666391318575/xceptional-2021-theme/css/templates/blog.min.css	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/hs-fs/hub/6853069/hub_generated/template_assets/49002281049/1666391318575/xceptional-2021-theme/css/templates/blog.min.css	(from https://resources.xceptional.com/)
11:51:10	45032/45032	---M--	200	added ('OK')	font/woff2	etag:%229092d5f6db55377bcbcf071329a267c3%22	https://resources.xceptional.com/_hcms/googlefonts/Open_Sans/regular.woff2	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/_hcms/googlefonts/Open_Sans/regular.woff2	(from https://resources.xceptional.com/)
11:51:10	57236/57236	---M--	200	added ('OK')	font/woff	etag:%22de7229ea3a612f15cc2db4beac08caa7%22	https://resources.xceptional.com/_hcms/googlefonts/Open_Sans/regular.woff	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/_hcms/googlefonts/Open_Sans/regular.woff	(from https://resources.xceptional.com/)
11:51:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2023%20Jan%202024%2006:21:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Xceptional-BitbyteSage/www.googletagmanager.com/gtm.65445.delayed	(from https://resources.xceptional.com/)
11:51:12	6342/6342	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2023%20Jan%202024%2006:21:11%20GMT	http://script.crazyegg.com/pages/scripts/0110/8911.js	C:/My%20Web%20Sites/Xceptional-BitbyteSage/script.crazyegg.com/pages/scripts/0110/8911.js	(from https://resources.xceptional.com/)
